AGEB	NUM_ENC
1501100290316	40
1501100010138	40
1501100040034	40
1501100020227	40
1501100010068	40
1501100290301	40
1501100010053	40
1501100290320	40
1501100130250	40
1501100010180	40
1501100130265	40
1501100290284	40
1501100020049	40
1501100010176	40
1501100010123	40
1501100010142	40
1501100290299	40
1501100020161	40
1501100010231	40
1501100040157	40
1501100020246	40
1503300010811	20
1503300011063	20
1503300011082	20
150330001128A	20
1503300011504	20
1503300012112	20
150330001231A	20
1503300012697	20
1503300013002	20
150330001345A	20
1503300013483	20
1503300013534	20
1503300013587	20
150330001021A	20
1503300010366	20
1503300010417	20
150330001046A	20
1503300011275	20
1503300011415	20
150330001306A	20
1503300013093	20
150330001313A	20
1503300013144	20
1503300013229	20
1503300013318	20
1503300013411	20
1503300013784	20
1503300013801	20
1503300014068	20
1503300014231	20
1503300014388	20
1503300014392	20
1503300014424	20
1503300014439	20
1503300014640	20
150330001473A	20
1503300014759	20
1503300014778	20
1503300014852	20
1503300014994	20
1503100010357	32
1503100011088	32
1503100011105	32
1503100011213	32
1503100011302	32
150310001150A	32
1503100011571	32
1503100010041	32
1503100010094	32
150310001015A	32
1503100010183	32
1503100010323	32
1503100010361	32
1503100010376	32
1503100010573	32
1503100010588	32
1503100010592	32
150310001061A	32
1503100010662	32
1503100010747	32
1503100010751	32
1503100010802	32
1503100010893	32
150310001129A	32
1503100011374	32
1509900010103	32
1509900010230	32
150990001025A	32
1509900010264	32
1509900010279	32
1509900010298	32
1509900010480	32
1509900010781	32
1509900010796	32
1509900010809	32
1509900010813	32
1509900010832	32
1509900011309	32
1509900011313	32
1509900121050	32
1509900200777	32
1509900290349	32
1509900420851	32
1509900450705	32
150990045071A	32
1509900481262	32
1509900291084	32
150990030064A	32
1509900351192	32
1509900431239	32
1505800010079	20
1505800010134	20
1505800010149	20
1505800010191	20
1505800010238	20
1505800010365	20
1505800010384	20
1505800010401	20
1505800010416	20
1505800010505	20
1505800010524	20
1505800010543	20
1505800010558	20
1505800010609	20
1505800010628	20
1505800010632	20
1505800010647	20
1505800010736	20
1505800010793	20
1505800010844	20
150580001090A	20
1505800010967	20
1505800011024	20
1505800011039	20
1505800011043	20
1505800011151	20
1505800011170	20
1505800011185	20
150580001119A	20
1505800011217	20
1505800011325	20
150580001133A	20
1505800011397	20
150580001140A	20
1505800011452	20
1505800011486	20
1505800011537	20
1505800011611	20
1505800011950	20
1505800011147	20
0900700010036	10
0900700010040	10
0900700010318	10
0900700010407	10
0900700010445	10
0900700010500	10
0900700010515	10
0900700010708	10
0900700010939	10
0900700010943	10
0900700010958	10
0900700010977	10
0900700011000	10
0900700011265	10
0900700011388	10
090070001141A	10
0900700011509	10
090070001159A	10
0900700011763	10
0900700011960	10
0900700012085	10
0900700012155	10
0900700012441	10
0900700012545	10
090070001262A	10
0900700012719	10
0900700012780	10
0900700012884	10
0900700012988	10
0900700013045	10
090070001305A	10
0900700013083	10
0900700013204	10
0900700013238	10
0900700013242	10
090070001337A	10
0900700013539	10
0900700013670	10
0900700013793	10
0900700014024	10
0900700014908	10
0900700015198	10
0900700015446	10
0900700015499	10
0900700010106	10
0900700010197	10
0900700010290	10
0900700010303	10
090070001091A	10
0900700011424	10
0900700011975	10
0900700012102	10
0900700012494	10
0900700012668	10
0900700012973	10
0900700013026	10
090070001369A	10
0900700013702	10
0900700013825	10
0900700013859	10
0900700013967	10
0900700014113	10
0900700014128	10
0900700014166	10
090070001419A	10
0900700014522	10
0900700014556	10
0900700014683	10
0900700014791	10
0900700014838	10
090070001497A	10
0900700015018	10
0900700015249	10
090070001554A	10
0900700015573	10
0900700015624	10
0900700015751	10
0900700015766	10
0900700015855	10
0900700015889	10
0901700010032	20
0901700010047	20
0901700010121	20
0901700010225	20
0901700010297	20
0901700010314	20
0901700010329	20
0901700010352	20
0901700010367	20
0901700010371	20
0901700010390	20
0901700010460	20
0901700010494	20
0901700010526	20
0901700010649	20
0901700010827	20
090170001087A	20
0901700011261	20
0901700011280	20
0901700011401	20
0901700011416	20
090170001144A	20
0901700010136	20
0901700010348	20
0901700010441	20
0901700010530	20
0901700010615	20
0901700010687	20
0901700010723	20
0901700010742	20
0901700010992	20
0901700011026	20
