ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,Estrato,Encuestas
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,811,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,1063,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,1082,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,128A,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,1504,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,2112,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,231A,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,2697,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3002,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,345A,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3483,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3534,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3587,2,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,021A,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,366,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,417,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,046A,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,1275,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,1415,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,306A,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3093,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,313A,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3144,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3229,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3318,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3411,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3784,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,3801,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4068,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4231,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4388,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4392,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4424,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4439,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4640,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,473A,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4759,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4778,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4852,1,20
15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,4994,1,20
15,México,31,Chimalhuacán,1,Total AGEB urbana,357,1,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,1088,1,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,1105,1,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,1213,1,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,1302,1,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,150A,1,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,1571,1,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,41,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,94,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,015A,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,183,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,323,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,361,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,376,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,573,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,588,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,592,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,061A,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,662,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,747,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,751,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,802,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,893,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,129A,2,32
15,México,31,Chimalhuacán,1,Total AGEB urbana,1374,2,32
15,México,99,Texcoco,1,Total AGEB urbana,103,2,32
15,México,99,Texcoco,1,Total AGEB urbana,230,2,32
15,México,99,Texcoco,1,Total AGEB urbana,025A,2,32
15,México,99,Texcoco,1,Total AGEB urbana,264,2,32
15,México,99,Texcoco,1,Total AGEB urbana,279,2,32
15,México,99,Texcoco,1,Total AGEB urbana,298,2,32
15,México,99,Texcoco,1,Total AGEB urbana,480,2,32
15,México,99,Texcoco,1,Total AGEB urbana,781,2,32
15,México,99,Texcoco,1,Total AGEB urbana,796,2,32
15,México,99,Texcoco,1,Total AGEB urbana,809,2,32
15,México,99,Texcoco,1,Total AGEB urbana,813,2,32
15,México,99,Texcoco,1,Total AGEB urbana,832,2,32
15,México,99,Texcoco,1,Total AGEB urbana,1309,2,32
15,México,99,Texcoco,1,Total AGEB urbana,1313,2,32
15,México,99,Texcoco,12,Total AGEB urbana,1050,2,32
15,México,99,Texcoco,20,Total AGEB urbana,777,2,32
15,México,99,Texcoco,29,Total AGEB urbana,349,2,32
15,México,99,Texcoco,42,Total AGEB urbana,851,2,32
15,México,99,Texcoco,45,Total AGEB urbana,705,2,32
15,México,99,Texcoco,45,Total AGEB urbana,071A,2,32
15,México,99,Texcoco,48,Total AGEB urbana,1262,2,32
15,México,99,Texcoco,29,Total AGEB urbana,1084,1,32
15,México,99,Texcoco,30,Total AGEB urbana,064A,1,32
15,México,99,Texcoco,35,Total AGEB urbana,1192,1,32
15,México,99,Texcoco,43,Total AGEB urbana,1239,1,32
15,México,58,Nezahualcóyotl,1,Total AGEB urbana,79,2,20
15,México,58,Nezahualcóyotl,1,Total AGEB urbana,134,2,20
15,México,58,Nezahualcóyotl,1,Total AGEB urbana,149,2,20
15,México,58,Nezahualcóyotl,1,Total AGEB urbana,191,2,20
15,México,58,Nezahualcóyotl,1,Total AGEB urbana,238,2,20
15,México,58,Nezahualcóyotl,1,Total AGEB urbana,365,2,20
15,México,58,Nezahualcóyotl,1,Total AGEB urbana,384,2,20
